Stock Ticker,Mean Squared Error
AAPL,5.713258657100702
ADBE,96.3908875100403
ADI,9.955090009149567
ADP,9.178132350367209
ALGN,84.45722746668908
AMD,13.38605656496659
AMGN,12.719893098014568
AMZN,6.5395553192306854
ANSS,37.69162885529852
ASML,261.6246691910102
AVGO,420.50860733853597
BIIB,16.621219255219703
BKNG,2714.7601010506946
CDNS,18.720096580009915
CDW,8.79113016568187
CHKP,2.8772983305134248
CHTR,70.68113127014459
CMCSA,0.3818627201429725
COST,56.45411949459739
CPRT,0.3623818392727317
CSCO,0.3946668226128787
CSX,0.15853216798662087
CTAS,43.77285526125192
CTSH,1.1316598837819023
DOCU,4.779199363215669
DXCM,7.423641287664363
EXC,0.27834811706626983
FAST,0.6730001061499356
FISV,2.586893243426698
FOX,0.18912736856093929
FOXA,0.2285587117184517
GILD,1.2949196972821204
GOOGL,5.216455794177073
IDXX,88.97343788843685
ILMN,32.098371580054
INCY,1.054002778901589
INTC,0.8825890980651279
INTU,84.45021924064602
ISRG,31.389169865830755
JD,1.7391537817798146
KHC,0.1594114535417173
KLAC,117.22137454581947
LRCX,231.81948606441094
LULU,76.30066569052117
MCHP,3.099226494189412
MELI,1003.8513113704498
MRVL,3.2588756150765152
MSFT,25.96192841587514
MU,3.6332496199293747
NFLX,101.95076685665306
NTAP,2.356236915750812
NTES,4.985834992998708
NVDA,216.72556048788715
NXPI,16.989726233549117
PEP,2.7587162925580033
PTON,0.20105808353309676
PYPL,2.8879227191116836
QCOM,7.1253880997972505
REGN,123.02544287110734
SBUX,1.9808022758183752
SIRI,0.037847422983102834
SNPS,73.9366321160891
SPLK,10.673532203206788
SWKS,4.578475248834805
TCOM,0.8420540680981586
TMUS,2.52133382392433
TSLA,48.15866746760744
TXN,7.131579425391377
ULTA,73.08596327506882
VRSK,7.62842412706891
VRSN,6.37778551021478
VRTX,29.693494214637802
WBA,0.40613616290663573
WDC,1.2637452338043207
